year,value,region
2000,224.4,Ouagadougou
2001,502.0,Ouagadougou
2002,249.1,Ouagadougou
2003,505.5,Ouagadougou
2004,287.0,Ouagadougou
2005,688.0,Ouagadougou
2006,287.0,Ouagadougou
2007,294.7,Ouagadougou
2008,399.8,Ouagadougou
2009,373.9,Ouagadougou
2010,489.7,Ouagadougou
2011,330.6,Ouagadougou
2012,500.0,Ouagadougou
2013,622.1,Ouagadougou
2014,584.3,Ouagadougou
2015,542.3,Ouagadougou
2016,846.2,Ouagadougou
2017,358.7,Ouagadougou
2018,486.3,Ouagadougou
2019,294.6,Ouagadougou
2020,495.6,Ouagadougou
2021,640.8,Ouagadougou
2022,752.2,Ouagadougou
2023,842.2,Ouagadougou
2024,684.9,Ouagadougou
